RecipeName,TransRecipeName,Label
Flour Water Salt,Mix the ingredients knead the dough roll into flat circles and cook on a griddle,Chapati
Flour Water Salt,Mix the ingredients knead the dough roll into flat circles and cook on a griddle,Roti
Flour Water Salt Garlic Herbs,Mix the ingredients knead the dough with garlic and herbs roll into flat circles and cook on a griddle,Garlic Herb Chapati
Flour Water Salt Garlic Herbs,Mix the ingredients knead the dough with garlic and herbs roll into flat circles and cook on a griddle,Garlic Herb Roti
Flour Water Salt,Mix the ingredients knead the dough stretch and twirl to create thin layers and cook on an inverted griddle,Rumali Roti
Flour Water Salt Masala spices,Mix the ingredients with masala spices knead the dough roll into flat circles and cook on a griddle,Masala Chapati
Flour Water Salt Masala spices,Mix the ingredients with masala spices knead the dough roll into flat circles and cook on a griddle,Masala Roti
Flour Water Gram flour Spices,Mix the ingredients knead the dough with gram flour and spices roll into flat circles and cook on a griddle,Missi Roti
Flour Water Salt Chicken Korma spices,Mix the ingredients with chicken and korma spices knead the dough roll into flat circles and cook on a griddle,Chicken Korma Naan
Flour Water Salt Garlic Coriander,Mix the ingredients with garlic and coriander knead the dough roll into flat circles and cook on a griddle,Garlic Coriander Naan
Flour Water Salt Kuloha flour variety,Mix the ingredients with kuloha flour knead the dough roll into flat circles and cook on a griddle,Kuloha Naan
Flour Water Salt Masala spices,Mix the ingredients with masala spices knead the dough roll into flat circles and cook on a griddle,Masala Naan
Flour Water Salt Onions,Mix the ingredients with onions knead the dough roll into flat circles and cook on a griddle,Onion Naan
Flour Water Coconut Raisins Nuts,Mix the ingredients with coconut raisins and nuts knead the dough roll into flat circles and cook on a griddle,Peshwari Naan
Flour Water Salt Nigella seeds,Mix the ingredients with nigella seeds knead the dough roll into flat circles and cook on a griddle,Roghani Naan
Flour Water Spicy tomatoes Spices,Mix the ingredients with spicy tomatoes and spices knead the dough roll into flat circles and cook on a griddle,Spicy Tomato Naan
Flour Water Milk Butter,Mix the ingredients with milk and butter knead the dough roll into flat circles and cook on a griddle,Butter Naan
Flour Water Salt,Mix the ingredients knead the dough roll into flat circles and cook in a tandoor,Tandoon Naan
Flour Water Salt Potato Spices,Mix the ingredients with mashed potato and spices knead the dough roll into flat circles and cook on a griddle,Aloo Paratha
Flour Water Salt,Mix the ingredients knead the dough create layered circles and cook on a griddle,Lachcha Paratha
Flour Water Salt Mixed vegetables Spices,Mix the ingredients with mixed vegetables and spices knead the dough roll into flat circles and cook on a griddle,Vegetable Paratha
Flour Water Salt Onions Spices,Mix the ingredients with onions and spices knead the dough roll into flat circles and cook on a griddle,Onion Paratha
Flour Water Salt,Mix the ingredients knead the dough roll into flat circles and cook on a griddle,Plain Paratha
Chicken Tikka Masala spices Chicken,Mix the ingredients with chicken tikka masala spices cook the chicken and serve with a sauce,Chicken Tikka Masala
Potato Brinjal Spices,Mix the ingredients with potato and brinjal cook with spices and serve,Potato Brinjal Curry
Potato Beans Spices,Mix the ingredients with potato and beans cook with spices and serve,Potato Beans Curry
Potato Spices,Mix the ingredients with potato cook with spices and serve,Aloo Curry
Mashed eggplant Spices,Mix the ingredients with mashed eggplant cook with spices and serve,Mashed eggplant
Lady's Finger Spices,Mix the ingredients with lady Ladys finger cook with spices and serve,Ladys Finger
Chick Peas Spices,Mix the ingredients with chickpeas cook with spices and serve,Chick Peas
Methi Aloo Spices,Mix the ingredients with methi and aloo cook with spices and serve,Methi Aloo
Mutter Paneer Spices,Mix the ingredients with mutter and paneer cook with spices and serve,Mutter Paneer
Pumpkin Spices,Mix the ingredients with pumpkin cook with spices and serve,Pumpkin
Shahi Paneer Spices,Mix the ingredients with shahi paneer spices cook with paneer and serve,Shahi Paneer
Shimla Mirchi Aloo Spices,Mix the ingredients with shimla mirchi and aloo cook with spices and serve,Shimla Mirchi Aloo
Stuffed Tomato Spices,Mix the ingredients with stuffed tomato cook with spices and serve,Stuffed Tomato
Ridge Gourd Spices,Mix the ingredients with ridge gourd cook with spices and serve,Ridge gound
Vegetable Kofta Spices,Mix the ingredients with vegetable kofta cook with spices and serve,Vegetable Kofta Curry
Mixed Vegetables Korma Spices,Mix the ingredients with mixed vegetables and korma spices cook and serve,Vegetable Korma
Pigeon Peas Spices,Mix the ingredients with pigeon peas cook with spices and serve,Pigeon Peas
Split Chick Peas Spices,Mix the ingredients with split chickpeas cook with spices and serve,Split Chick Peas
Dal Makhani Spices,Mix the ingredients with dal makhani spices cook with dal and serve,Dal Makhani 
Moong Dal Spices,Mix the ingredients with moong dal cook with spices and serve,Moong Dal
Masoor Dal Spices,Mix the ingredients with masoor dal cook with spices and serve,Masoor dal
Urad Dal Spices,Mix the ingredients with urad dal cook with spices and serve,Urad dal
Toor Dal Tamarind Sambar Powder Vegetables,A traditional South Indian dish made with toor dal tamarind and various vegetables,Sambar
White Rice,Plain cooked white rice,White Rice
Basmati Rice Mixed Vegetables Spices,A fragrant rice dish cooked with basmati rice mixed vegetables and spices,Pulao
Rice Lentils Spices,A simple dish made with rice lentils and spices,Kichidi
Cow Milk,Milk obtained from cows,Cow Milk
Buffalo Milk,Milk obtained from buffaloes,Bufffalo Milk
Curd,Fermented dairy product with a tangy flavor,Curd
Buttermilk,A beverage made by thinning yogurt with water,Butter Milk
Milk Lemon Juice,Make paneer by curdling milk with lemon juice strain and use,Paneer
Cheese,A dairy product made from milk usually aged for flavor,Cheese
Yogurt Water,Blend yogurt with water and serve,Lassi
Mashed Potatoes Spices,Mix mashed potatoes with spices fill in dough and deep fry,Samosa
Brinjal Mustard Seeds Fenugreek Seeds Spices,Cook brinjal with mustard seeds fenugreek seeds and spices and serve as pickle,Brinjal Pickle
Green Chillies Mustard Seeds Fenugreek Seeds Spices,Cook green chilies with mustard seeds fenugreek seeds and spices and serve as pickle,Chilli Pickle
Lime Mustard Seeds Fenugreek Seeds Spices,Cook lime with mustard seeds fenugreek seeds and spices and serve as pickle,Lime Pickle
Raw Mango Mustard Seeds Fenugreek Seeds Spices,Cook raw mango with mustard seeds fenugreek seeds and spices and serve as pickle,Mango Pickle
Beetroot,A nutritious root vegetable often used in salads or cooked dishes,Beetroot
Bell Pepper,A colorful bell-shaped vegetable commonly used in cooking,Bell Pepper
Black Olives,Small round flavorful olives,Black Olives
Broccoli,A nutritious green vegetable that is often steamed or stir-fried,Broccoli
Brussels Sprouts,Small leafy green vegetables commonly used in salads or cooked dishes,Brussels Sprouts
Cabbage,A leafy green vegetable that can be eaten raw or cooked,Cabbage
Carrot,A crunchy and sweet root vegetable commonly used in salads or as a snack,Carrot
Cauliflower,A versatile vegetable that can be cooked in various ways,Cauliflower
Celery,A crisp and flavorful green vegetable often used in salads or as a garnish,Celery
Cherry Tomato,Small round tomatoes with a sweet flavor,Cherry Tomato
Corn,A cereal grain that is often steamed or boiled,Corn
Cucumber,A refreshing and hydrating vegetable commonly used in salads,Cucumber
Garlic,A pungent and aromatic member of the allium family,Garlic
Green Beans,A versatile vegetable that can be cooked in various ways,Green Beans
Green Olives,Small tangy olives often used in salads or as a snack,Green Olives
Green Onion,A flavorful onion with long green stalks,Green Onion
